Περιοχή επενδυτών,Red-flags και φράσεις,Κρυπτο-υπηρεσίες
σταθερή απόδοση/profit,περιορισμένος χρόνος / limited time offer,presale / ICO / token sale
επενδυτική πρόταση,προσφορά μόνο για σήμερα / only today,liquidity mining / guaranteed APR (Annual Percentage Yield)
εγγυημένο κέρδος/απόδοση,πρώτοι 100 επενδυτές / limited slots,token airdrop (όταν ζητούνται κλειδιά/κατάθεση)
καθημερινή πληρωμή / (daily payouts),κάποια ειδική προσφορά για εσάς,private sale / seed round
εξασφαλισμένη αξία,άμεσα αποτελέσματα / επιστροφή / κατάθεση τώρα,Bridge / wrapping service with fees
γρήγορο κέρδος,οδηγεί προς την πηγή του πλούτου,KYC optional / KYC bypass
σίγουρη επένδυση,Εγγυημένη επιτυχία 100%,Smart Contract Audits (Fake/Copy-paste)
επένδυση χωρίς ρίσκο / κίνδυνο,Τελευταία ευκαιρία πριν κλείσει,Yield Farming / High APY
μηδενικό ρίσκο,Μην το πεις σε κανέναν / Secret Project,Gas fees / Network congestion fees
επένδυση / ευκαιρία,Ειδικό προνόμιο μέλους,Flash Loans / Flash Swaps
high yield,Αναβάθμιση σε VIP επίπεδο,Cloud Mining / Hashrate rental
passive income,Πρέπει να πληρώσεις φόρο για ανάληψη,P2P Trading Escrow scam
εγγυήσεις απόδοσης,Ο λογαριασμός έχει παγώσει (Frozen),Atomic Swaps
επενδυτικά πακέτα,Χρειάζεται κατάθεση για ξεμπλοκάρισμα,Synthetic Assets / Derivatives
τίτλοι επένδυσης,Η τράπεζα απέρριψε τη συναλλαγή,Algorithmic Stablecoin peg
εγγυημένη οικονομική απόδοση,Ξέπλυμα χρήματος έλεγχος (Fake),Multi-sig wallet (Scammer controlled)
κατάθεση κεφαλαίου,Ασφάλεια κεφαλαίου (Insurance fee),DAO Governance Token scam
μηδενικές πιθανότητες απώλειας,Λάθος στο σύστημα / System Glitch,Rug pull / Soft rug
μοναδική ευκαιρία,Κέρδη ενώ κοιμάσαι,Honeypot contract
σίγουρη / ισχυρή πρόβλεψη,Γίνε το αφεντικό του εαυτού σου,Pump and Dump groups
άμεσο αποτέλεσμα / άμεση απόδοση,Οικονομική ελευθερία,Sniper Bot / Front-running bot
guaranteed returns / risk-free returns,Άλλαξε τη ζωή σου σήμερα,Meme coins / Shitcoins
διπλασιασμός κεφαλαίου,Παθητικό εισόδημα για πάντα,Mixing services / Tumblers
βελτιώστε τη ζωή σας τώρα,Σύνταξη σε 1 χρόνο,Unregulated DEX / Swap
εγγραφή / λοιπές εγγραφές,Βοήθησε την οικογένειά σου,Impermanent Loss hiding
VIP επενδυτής,Εμπιστεύσου τη διαδικασία,Wrapped Bitcoin (WBTC) fake
VIP λογαριασμός,Οι τράπεζες δεν δίνουν τόκους,Cross-chain bridge exploit
σχέση με μέλλοντα / μελλοντικά κέρδη,Ο πληθωρισμός τρώει τα λεφτά σου,Web3 wallet connect phishing
returns,Κανείς δεν έχασε λεφτά εδώ,Malicious DApp permissions
μυστικό όραμα / μυστική / secret strategy / insider strategy,Είμαστε νόμιμη εταιρεία (We are legit),Seed phrase phishing form
επενδυτική στρατηγική με απόδοση Χ%,Δες τις αποδείξεις πληρωμών (Fake),Ice Phishing
εγγυημένα Κέρδη / guaranteed ROI,Μίλα με τον μάνατζερ μου,Sleep Minting (NFT scam)
διοικητική πρόβλεψη,Ο καθηγητής/μέντορας πρότεινε,Wash Trading (NFTs)
υπερ-απόδοση,Σήματα Trading (Signals),Social Engineering hacks
άνοδος / εγγύηση,Έχω εσωτερική πληροφόρηση,Sim Swap attack target
διαχείριση κεφαλαίων,Εγγύηση επιστροφής χρημάτων,Dusting Attack
διαχειριστής διαχείρισης / portfolio/fund manager,Δοκίμασε με μικρό ποσό,Reentrancy Attack vulnerabilities
επενδυτικές υποσχέσεις,Χωρίς προμήθειες (No fees),Collateralized Debt Position (CDP) scam
επιλεκτική μακροβιότητα,Μπόνους εγγραφής (Deposit Bonus),Staking pool (Fake APY)
μικρή / μεγάλη διάρκεια της αγοράς,Μπόνους σύστασης φίλου,Ponzi logic in Smart Contract
πρόγνωση (σε συμβουλές ή σε συστάσεις),Πυραμίδα κερδών,Masternode investment
ανταμοιβή (σε συμβουλές ή σε συστάσεις),Πρόγραμμα Affiliate,POS (Proof of Stake) fake validators
εξασφαλισμένη τιμή κεφαλαίου,Matrix cycle system,POW (Proof of Work) rental scam
χαμηλές προμήθειες,Binary tree structure,Initial Game Offering (IGO) scam
